K,seed,country,i,j,dist
5,7,Poland,0,2,1.0647708030325442
5,7,Portugal,4,4,0.7073919299498465
5,7,Slovakia,1,0,0.9945552330489785
5,7,Slovenia,4,0,0.9793095212871615
5,7,Spain,1,1,2.2486021145204913
5,7,Sweden,2,1,1.3217368045767017
5,7,Switzerland,0,3,2.1924475918646595
5,7,Ukraine,0,0,3.407114081647263
5,7,United Kingdom,4,3,1.7329569116891619
5,8,Austria,2,0,1.3427349107029685
5,8,Belgium,2,0,0.6148506712247559
5,8,Bulgaria,3,2,2.0826909666471494
5,8,Croatia,0,1,2.046379277650699
5,8,Czech Republic,4,4,0.7903513328344741
5,8,Denmark,1,1,0.5683729319167096
5,8,Estonia,4,1,1.8539814348983108
5,8,Finland,4,3,0.9472949467479226
5,8,Germany,1,0,1.161306237297398
5,8,Greece,0,1,2.4697114874401547
5,8,Hungary,4,1,0.7996348246301062
5,8,Iceland,2,2,2.0319537724302186
5,8,Ireland,2,3,1.52739189183845
5,8,Italy,3,4,0.9817914576802842
5,8,Latvia,4,1,1.9367942134098777
5,8,Lithuania,3,3,1.5123581996433926
5,8,Luxembourg,2,2,2.549543639655287
5,8,Netherlands,1,3,1.0382057611520585
5,8,Norway,1,4,2.1652702067858205
5,8,Poland,4,0,1.4213314213544437
5,8,Portugal,0,1,0.8112650331483335
5,8,Slovakia,3,3,0.8539854471841725
5,8,Slovenia,1,2,1.0354741740922861
5,8,Spain,4,2,2.344492705725838
5,8,Sweden,1,4,1.33853677864255
5,8,Switzerland,1,3,2.6775775465736027
5,8,Ukraine,4,0,3.5147193138994357
5,8,United Kingdom,0,3,1.3396399518111073
5,9,Austria,3,1,1.1190594609894389
5,9,Belgium,3,1,0.7283602500887212
5,9,Bulgaria,0,2,2.5220363643766706
5,9,Croatia,0,4,1.409946922546283
5,9,Czech Republic,3,3,1.1012237502241475
5,9,Denmark,1,3,0.7708157344697535
5,9,Estonia,0,2,2.2845459470328993
5,9,Finland,2,3,0.7268775505087615
5,9,Germany,0,3,1.1117733152307165
5,9,Greece,0,4,3.3150113146527374
5,9,Hungary,0,4,1.2616086928792025
5,9,Iceland,0,0,1.512168059404568
5,9,Ireland,3,4,1.664377483329385
5,9,Italy,4,1,0.8258446261458771
5,9,Latvia,0,2,2.2891634729016523
5,9,Lithuania,1,2,1.7409204057225487
5,9,Luxembourg,1,0,2.6129477216136343
5,9,Netherlands,3,0,0.9389369763842361
5,9,Norway,4,4,1.6526605185772683
5,9,Poland,0,2,1.2747860971422553
5,9,Portugal,1,4,0.849002489568277
5,9,Slovakia,1,2,1.0159662330801096
5,9,Slovenia,3,3,1.0675990239803115
5,9,Spain,3,4,3.2617174635041604
5,9,Sweden,2,3,1.3110936666399116
5,9,Switzerland,3,0,1.942913102992472
5,9,Ukraine,0,2,3.5352188445409025
5,9,United Kingdom,4,1,1.8498531788673556
